ts_code,stk_code,list_date,industry,market,total_mv,profit,year,month,,
128024.SZ,002142.SZ,12/01/2018,银行,中小板,938.4074497,0.115,2018,1,,
123003.SZ,300433.SZ,17/01/2018,元器件,创业板,708.7866433,-0.0499,2018,1,,
128026.SZ,002772.SZ,03/01/2018,种植业,中小板,41.40237541,0.0025,2018,1,,
128027.SZ,002815.SZ,22/01/2018,元器件,中小板,121.77,0.07,2018,1,,
113503.SH,603738.SH,02/01/2018,元器件,主板,27.3301316,0.08,2018,1,,
123004.SZ,300197.SZ,26/01/2018,环境保护,创业板,170.2012049,0.07,2018,1,,
123005.SZ,300168.SZ,30/01/2018,软件服务,创业板,145.8981938,0.15,2018,1,,
123006.SZ,300059.SZ,29/01/2018,证券,创业板,689.6357787,0.25,2018,1,,
128028.SZ,002460.SZ,19/01/2018,小金属,中小板,440.3896677,0,2018,1,,
128029.SZ,002078.SZ,16/01/2018,造纸,中小板,277.9251375,0.13,2018,1,,
128030.SZ,002100.SZ,29/01/2018,饲料,中小板,80.24993785,0.081,2018,1,,
110041.SH,600863.SH,09/01/2018,火力发电,主板,174.8131245,0.0402,2018,1,,
128032.SZ,002472.SZ,25/01/2018,机械基件,中小板,62.898008,0.0351,2018,1,,
110042.SH,600372.SH,15/01/2018,航空,主板,236.9592478,0.03,2018,1,,
113017.SH,601929.SH,15/01/2018,影视音像,主板,91.45755504,0.024,2018,1,,
128033.SZ,002658.SZ,29/01/2018,环境保护,中小板,74.40027936,0.033,2018,1,,
123007.SZ,300409.SZ,26/01/2018,陶瓷,创业板,106.0165,0.18,2018,1,,
113018.SH,601128.SH,06/02/2018,银行,主板,174.0396,0.06,2018,2,,
128034.SZ,002807.SZ,14/02/2018,银行,中小板,134.1421949,-0.0101,2018,2,,
110043.SH,600908.SH,14/03/2018,银行,主板,144.5225785,-0.0012,2018,3,,
123008.SZ,300601.SZ,19/03/2018,生物制药,创业板,235.418378,0.2012,2018,3,,
128035.SZ,002008.SZ,05/03/2018,电器仪表,中小板,598.6236025,0.12,2018,3,,
